"","id","baseMean","baseMeanA","baseMeanB","foldChange","log2FoldChange","pval","padj"
"1256","ECB_01256",74.0405279994321,110.504764011311,37.5762919875529,0.340042280744625,-1.55621395314736,0.0208345128172831,0.0738522804622481
"1258","ECB_01258",8.11093001260196,14.594636694219,1.62722333098495,0.111494610320071,-3.1649541233287,0.0365571531050637,0.1135163248762
"1260","ECB_01260",322.941375266061,2.88874583394457,642.994004698178,222.585870014106,7.79821820155791,2.37958225028935e-07,5.35529942890639e-06
"1263","ECB_01263",141.993849807723,264.722882613288,19.2648170021587,0.0727735238147172,-3.78044251969033,6.62570948649553e-06,9.03241947286867e-05
"1264","ECB_01264",117.126108993229,229.076906079846,5.17531190661211,0.0225920281322825,-5.46804239956401,0.0173566000657293,0.0639913557030856
"1265","ECB_01265",439.881279784652,803.624921215869,76.137638353435,0.0947427541672553,-3.39984057817116,4.17194412741746e-05,0.000441717053317713
"1271","ECB_01271",75.2521751346536,22.6379731070539,127.866377162253,5.64831385555497,2.49782025597318,0.00334733286518186,0.0173844054212149
"1273","ECB_01273",57.8487750406643,110.246440847085,5.45110923424372,0.0494447638613982,-4.3380384403003,0.000258609429118249,0.00210047244966157
"1275","ECB_01275",50.905353096218,85.6672952128209,16.1434109796151,0.188443103514713,-2.40779909748225,0.00342084788183803,0.0176390020255634
"1277","ECB_01277",102.276541557633,198.603912983837,5.94917013142994,0.0299549492356382,-5.0610618011909,0.0157621453823438,0.0596917004356772
"1278","ECB_01278",81.3686660634589,158.451074498524,4.28625762839366,0.0270509849299481,-5.20817506604859,0.0170998485999206,0.0633148635820539
"1281","ECB_01281",6718.50152708433,322.598543106831,13114.4045110618,40.6523984416101,5.34526856693528,3.98432775843522e-06,5.99870391783922e-05
"1282","ECB_01282",233.237097054596,18.4640453224623,448.01014878673,24.2639216359432,4.60074083856468,3.50347049702712e-07,7.45738720081486e-06
"1283","ECB_01283",264.970483773685,10.7246905978654,519.216276949504,48.4131707308039,5.59732767881569,1.18690500177233e-06,2.07636296059038e-05
"1284","ECB_01284",152.664337590966,5.96869456901737,299.359980612915,50.1550175086607,5.64832213017684,1.51773229376814e-07,3.64340068965118e-06
"1285","ECB_01285",228.776877347124,33.7709821937802,423.782772500467,12.5487251175809,3.64946889651597,3.35671950238311e-06,5.21740466539475e-05
