"gene_id","t3","t4","t5","t6","t8","t24","t48","t168","t336"
"YP_003046276.1",0.432274098948403,0.363768237525164,0.416768764515995,0.19663031181205,0.324966240807715,0.515501768061453,0.646264186685471,1,0.811880261530969
"YP_003046485.1",0.234711260823464,0.10441219705505,0.0820988102540862,0.0281832000066675,0.247794862444522,0.856202589762042,0.966065592791338,0.967865681666172,1
"YP_003045256.1",1,0.818950063805897,0.930743683963038,0.876788538665678,0.83840500536974,0.52727356654084,0.485573446886585,0.572351377744354,0.608930214385341
"YP_003045179.1",0.0460307304137291,0,0,0.0229216344901068,0.0227229557962921,0.729998227928447,0.598324670874304,0.79381131765611,1
"YP_003046252.1",0.743924860212411,0.717917199781885,1,0.863136884413667,0.711418603216071,0.328909005151074,0.411440939009922,0.26815479931413,0.42010501837702
"YP_003046591.1",0.779891948846015,0.831217307549582,0.846597541835366,0.793251172147394,0.760373707136018,0.823261228810268,0.778400733598283,1,0.959405649221827
"YP_003043800.1",0.717829645866022,0.912118786831463,0.811784585803833,0.58166114930306,0.615699628135273,1,0.80690434191225,0.746143798044873,0.788063264973554
"YP_003045687.1",0.893125820348602,0.943801441676897,1,0.8367097902253,0.857044727152026,0.655501414351845,0.743997626224859,0.3495247146616,0.182244081281204
"YP_003046250.1",0.98841560415794,0.734600135593065,1,0.639968216473513,0.699907254730691,0.0657871135530085,0.0185177219318622,0,0
"YP_003047248.1",0.275392634263169,0.378247877089766,0.349384912073623,0.532300211196055,0.597248068290238,1,0.76044593851934,0.623167732920167,0.320222718005244
"YP_003043825.1",0.86474601888677,0.782789636391558,1,0.66364562319561,0.344287413440539,0.0181212227273801,0.0406223899060058,0.044862506031586,0.0227977998910733
"YP_003044984.1",0.587071139750696,0.751289850582188,0.756943146787721,0.768235579822516,0.830808007767887,0.922367864753572,0.872708932342874,1,0.968972418875243
"YP_003046202.1",0.691825528532227,0.612056046864196,0.641307370510993,0.664798844288188,0.687078393723311,0.833745182440218,0.889660389460944,1,0.965885675467979
"YP_003047037.1",0.942399369999265,1,0.946186321579195,0.96734061805655,0.925264872113133,0.95977548248003,0.9928597893461,0.962098001121928,0.997494810863077
"YP_003046260.1",0.516817776005495,0.691238853030861,0.678354590408168,0.944190268310831,0.85273728270176,1,0.677228006839879,0.400479043085193,0.413112216423163
"YP_003047189.1",0.349170666758574,0.265589399451322,0.30332213919316,0.204330836857098,0.291421012410566,0.6432931894004,1,0.843038488720656,0.972066196054817
"YP_003044772.1",0.406104142141719,0.534803391609617,0.682331833996169,0.946725513095338,1,0.891062323441955,0.835476782906479,0.781920936106558,0.787145785084391
"YP_003043982.1",0.94472812144984,1,0.801933130095267,0.68175268260293,0.478277784967497,0.331291921115978,0.345428022876525,0.269517733719632,0.260717666855546
