"gene_id","A1","A2","A3","tau1","tau2","tau3","tau4"
"ECB_00239","0.771695","0.163629","0.897038","5.465376","8.832568","13.555271","221.830287"
"ECB_00248","0.372075","0.009155","0.629728","2.983637","23.999996","108.104959","156.442936"
"ECB_00255","0.007168","0.04978","0.008148","5.523234","7.301835","12.694457","149.735035"
"ECB_00257","0.264132","0.534524","0.909687","7.999956","8.000118","23.484347","169.823054"
"ECB_00259","1e-05","8e-06","0.785","3.652844","15.124608","51.6816","159.040437"
"ECB_00261","0.086296","2e-06","0.658024","0.780229","32.27869","32.284612","195.504818"
"ECB_00262","0.084069","1e-06","0.775529","8.001974","8.002007","29.418299","170.917188"
"ECB_00266","0.188513","0.002627","0.57996","7e-06","6.493243","51.916943","169.447517"
"ECB_00267","0.852454","0.017675","0.190325","8.42163","24.399607","32.051796","165.412642"
"ECB_00268","0.72448","0.175975","0.349517","11.433709","23.966721","23.975448","137.282814"
"ECB_00269","0.263494","0.078379","0.441179","14.820081","24.316305","28.575686","49.904143"
"ECB_00272","0.404449","0","0.730008","5.002185","16.511824","29.965604","177.682854"
"ECB_00275","0.371769","1.5e-05","0.18312","9.4e-05","23.55821","33.562024","95.235564"
"ECB_00281","0.007296","0.00662","0.161451","5.688878","12.065788","28.260847","172.078476"
"ECB_00282","0.01919","0.152094","0.355361","7.999909","9.35483","32.112891","163.798712"
"ECB_00283","0.021552","0.26576","0.44851","6.611109","7.999324","24.000182","160.428002"
"ECB_00285","0.216138","0.855918","0.5317","5.991407","8.524202","45.089213","174.15438"
"ECB_00286","0.00092","0.420194","0.547735","6.788871","22.390743","65.631905","65.634373"
"ECB_00287","0.016117","1e-06","1.03185","6.896924","6.961677","42.749847","227.865072"
"ECB_00288","0.019813","0.196265","0.950623","11.150111","11.282019","11.282337","197.041924"
"ECB_00289","0.050709","0.078714","1.001503","7.581491","11.400071","36.774859","189.953864"
"ECB_00290","0.504617","1e-05","0.091388","6.000023","9.249833","34.648731","168.242698"
"ECB_00296","0.036397","0.004175","0.939584","4.21361","48.020487","75.864991","96.334337"
"ECB_00299","0.275253","0.150469","0.584248","5.077402","5.083078","36.532573","169.70291"
"ECB_00309","0.802484","0.000345","0.797668","3.003038","8.398625","47.985385","173.558172"
"ECB_00310","0.649222","6e-06","0.151188","5.701281","9.949669","11.943877","216.735138"
"ECB_00311","0.821429","1.6e-05","0.203336","4.001237","25.670737","91.038457","112.966124"
"ECB_00314","0.159889","1.4e-05","0.327563","2.888694","25.305412","30.333393","47.998533"
"ECB_00315","0.78831","0.034738","0.185067","6.120943","9.279085","23.998727","172.659499"
"ECB_00316","0.605937","2.8e-05","0.164707","4.512317","9.984119","58.361139","159.983688"
"ECB_00317","0.998469","0.086516","0.13647","0.000755","8.492048","168.206824","220.183648"
"ECB_00318","0.861681","0.32994","0.28006","3.999953","4.000019","36.503638","224.089026"
"ECB_00321","0.205414","0.523948","0.983797","7.083929","24.738873","24.738891","167.013031"
"ECB_00327","0.430143","0.186956","0.910306","8.000047","16.876737","16.886795","166.443468"
"ECB_00329","0.330012","0.599931","0.508872","15.086991","15.087256","20.67644","151.049215"
"ECB_00330","0.142566","0.015245","0.676937","7.994554","16.23205","48.0005","141.49615"
"ECB_00331","0.01163","0.781703","0.234076","7.999975","8","9.424327","179.487268"
"ECB_00334","0.973754","0.179448","0.610365","5.038402","6.830006","23.999248","196.966795"
"ECB_00337","0.450723","0.202343","0.866718","4.114494","7.999422","32.629512","170.450216"
"ECB_00338","0.658494","0.216389","0.549344","1.711985","19.268625","19.268652","168.036592"
"ECB_00345","0.772251","1e-06","0.354275","7.083851","8.738918","10.398123","154.880659"
"ECB_00348","0.27192","0.044707","0.846109","10.49321","24.00511","31.501625","128.276049"
"ECB_00350","0.988379","0.142233","0.847701","3.563263","9.375124","47.982306","186.888539"
"ECB_00351","0.725316","0.041694","0.077987","4.999999","9.512856","34.48401","187.699016"
"ECB_00352","0.071181","0.117387","0.792646","3.592934","35.415576","35.415577","166.254386"
"ECB_00353","0.85948","0.00317","0.193838","4.25562","8.41269","47.828511","261.04152"
"ECB_00354","0.901288","8.3e-05","0.088386","7.101682","8.192527","37.380132","170.486061"
"ECB_00355","1","0.171462","0.258022","3.659516","9.094398","30.951795","174.807647"
"ECB_00356","0.913359","0.104451","0.148536","7.999618","8.000076","29.872751","173.0551"
"ECB_00362","0.924816","0.272339","0.61631","5.557918","12.767643","12.768121","194.457286"
"ECB_00363","0.984207","0.074068","0.231909","4.088556","10.642986","47.952802","154.801574"
"ECB_00364","0.936811","0.12113","0.153839","5.541015","8.514507","14.067728","172.725008"
