"gene_id","A1","A2","A3","tau1","tau2","tau3","tau4"
"YP_003045289.1","0.974747","0.194365","0.541654","3.173279","5.999874","6.133082","190.172474"
"YP_003046064.1","0.850231","0.161305","0.099765","8.000037","14.747781","30.781023","165.022167"
"YP_003046108.1","0.999999","0.647975","0.699661","1.842124","7.209536","47.703234","162.213812"
"YP_003047153.1","0.679417","0.826424","0.452995","4.996362","4.996363","20.091607","170.647209"
"YP_003046066.1","0.87775","0.743419","0.775429","13.013097","21.683951","50.492098","147.902471"
"YP_003044447.1","0.827399","0.887578","0.962026","12.398528","22.446909","22.447436","135.517537"
"YP_003045969.1","0.197694","0.840039","1.006598","8e-06","0.000141","45.192986","214.711912"
"YP_003044269.1","0.992761","0.037252","0.010962","2.999766","10.6582","78.626362","214.731097"
"YP_003044449.1","0.951107","0.631219","0.679362","5.513208","11.011429","65.715219","262.565737"
"YP_003044277.1","0.629056","0.917093","0.868721","6.289937","6.290089","25.952687","179.161215"
"YP_003044478.1","0.563216","0.761754","0.729748","0.241343","19.774146","19.774177","180.553591"
"YP_003046855.1","0.845993","0.019679","0.005934","6.000069","9.634073","25.925641","173.813131"
"YP_003044025.1","0.917874","0.434917","0.070763","2.999999","6.22361","6.447152","207.965385"
"YP_003043859.1","0.911653","1","0.838674","5.221697","21.170677","21.170696","196.310496"
"YP_003046835.1","0.999948","0.777948","0.819292","0.028476","10.258702","10.264821","175.165731"
"YP_003044313.1","0.641481","0.390336","0.490107","8.646579","23.999979","25.682108","131.652816"
"YP_003043580.1","0.987454","0.645226","0.604306","2.618339","8.405258","8.405283","186.188066"
"YP_003044287.1","0.6935","0.004412","0.001193","0.977516","21.858419","23.303795","166.142295"
"YP_003044176.1","0.821378","0.6669","0.982982","5.000006","6.049231","11.586601","170.848722"
"YP_003043985.1","0.602395","0.803165","0.944598","14.012548","23.839237","51.196639","152.137306"
"YP_003045445.1","0.882156","0.200358","0.094811","5.984992","6.013555","30.460368","170.345507"
"YP_003046833.1","0.692205","0.659942","0.809249","5.662393","12.325782","12.325858","167.999994"
"YP_003044874.1","0.996257","0.403108","0.286363","2.803768","6.138326","6.281691","183.6092"
"YP_003043582.1","0.78659","0.52775","0.976367","11.020957","11.021019","11.29726","191.406941"
"YP_003044170.1","0.922368","0.798577","0.683095","5.999994","6.000015","40.40083","181.097795"
"YP_003045443.1","0.974389","0.421906","0.277526","2.2e-05","23.915371","35.852464","155.065469"
"YP_003046831.1","0.872417","0.583295","0.593178","6","14.449779","14.587291","173.357141"
"YP_003046971.1","0.649635","0.807961","0.946627","0.033711","28.609268","28.609278","192.747942"
"YP_003045977.1","0.524503","0.876281","0.509804","13.634611","21.569308","69.798314","69.888348"
"YP_003043584.1","0.904479","0.425973","0.245593","8.081798","8.660133","24.496197","222.602701"
"YP_003045503.1","0.899456","0.918427","0.83314","7.697435","13.484604","14.222632","335.816248"
"YP_003044927.1","0.928701","0.824824","0.870285","1.392525","13.244177","32.288133","150.932001"
"YP_003045428.1","0.768433","0.676069","0.513996","6.000654","6.343918","31.843601","187.153841"
"YP_003046556.1","0.938195","0.573466","0.363118","7.984566","8.029102","19.213445","161.168744"
"YP_003046236.1","0.251013","0.345974","0.907329","4.995436","5.000796","37.933022","181.491593"
"YP_003045635.1","0.967406","0.775658","1.001974","2.170587","8.608804","130.258735","309.682952"
"YP_003044870.1","0.65437","0.921572","0.968012","2.897024","9.922136","32.979109","164.671728"
"YP_003045747.1","0.574789","0.923746","0.880907","5.466509","6.246375","6.247867","258.016887"
"YP_003044810.1","0.882333","0.872113","0.877479","11.746043","15.101551","38.198498","166.997491"
"YP_003046584.1","0.936389","0.77496","0.699274","4.999998","18.524251","20.403645","204.337371"
